Day fraction since midnight on 	pH probe (pH)	air slope ()	air valve control ()	
0.609101409	5.521291733	0	NaN
0.609112983	5.476448536	0	NaN
0.609124547	5.563894272	0	NaN
0.609136141	5.486274719	0	NaN
0.609147733	5.557953835	0	NaN
0.609159282	5.494966507	0	NaN
0.609170855	5.541321755	0	NaN
0.609182415	5.487826347	0	NaN
0.609193999	5.538057327	0	NaN
0.609205582	5.491481304	0	NaN
0.609217167	5.508104801	0	NaN
0.609228727	5.512422562	0	NaN
0.609240289	5.506241322	0	NaN
0.609251876	5.500553131	0	NaN
0.609263451	5.490400314	0	NaN
0.60927501	5.499242306	0	NaN
0.609286603	5.440382958	0	NaN
0.609298168	5.466564179	0	NaN
0.609309741	5.446171761	0	NaN
0.609321306	5.497264385	0	NaN
0.609332904	5.418354988	0	NaN
0.609344472	5.491726875	0	NaN
0.609356067	5.427314282	0	NaN
0.609367601	5.463152409	0	NaN
0.609379174	5.401067734	0	NaN
0.609390772	5.479548931	0	NaN
0.609402325	5.393535614	0	NaN
0.609413904	5.468119144	0	NaN
0.609425478	5.388439655	0	NaN
0.60943705	5.453717232	0	NaN
0.609448635	5.354392052	0	NaN
0.609460212	5.440453529	0	NaN
0.609471775	5.384008408	0	NaN
0.609483358	5.431548119	0	NaN
0.609494917	5.430888176	0	NaN
0.609506491	5.41382122	0	NaN
0.609518084	5.350000382	0	NaN
0.60952965	5.355730057	0	NaN
0.609541231	5.368233204	0	NaN
0.609552797	5.383547783	0	NaN
0.609564379	5.40998888	0	NaN
0.609575965	5.359007359	0	NaN
0.609587542	5.414223194	0	NaN
0.609599106	5.33321476	0	NaN
0.60961068	5.357791901	0	NaN
0.609622242	5.316097736	0	NaN
0.609633818	5.377352715	0	NaN
0.609645402	5.332680702	0	NaN
0.609656972	5.392741203	0	NaN
0.609668541	5.299940586	0	NaN
0.609680119	5.350329876	0	NaN
0.609691693	5.288440228	0	NaN
0.609703267	5.352273464	0	NaN
0.609714821	5.279259682	0	NaN
0.609726416	5.384761334	0	NaN
0.609738002	5.283220291	0	NaN
0.609749555	5.326966286	0	NaN
0.609761136	5.273874283	0	NaN
